Spanish,English
de,from
la,the
que,that
el,the
en,on
y,and
a,to
los,the
se,I know
del,of the
las,the
un,a
por,by
con,with
no,no
una,a
su,its
para,for
es,it is
al,to the
lo,it
como,What
más,plus
o,or
pero,but
sus,their
le,you
ha,he has
me,I
si,Yes
sin,without
sobre,upon
este,this
ya,already
entre,Come in
cuando,when
todo,everything
esta,is
ser,be
son,are
dos,two
también,too
fue,it was
había,there was
era,was
muy,very
años,years
hasta,until
desde,from
está,is
mi,me
porque,because
qué,that
sólo,single
han,they have
yo,me
hay,there are
vez,time
puede,may
todos,everybody
así,So
nos,us
ni,neither
parte,part
tiene,have
él,he
uno,one
donde,where
bien,well
tiempo,weather
mismo,same
ese,that
ahora,now
cada,each
e,and
vida,life
otro,other
después,after
te,tea
otros,others
aunque,although
esa,this
eso,that
hace,does
otra,other
gobierno,government
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,big
país,country
según,according
menos,less
mundo,world
año,year
antes,before
estado,state
contra,against
sino,otherwise
forma,shape
caso,case
nada,any
hacer,do
general,general
estaba,was
poco,little
estos,these
presidente,President
mayor,higher
ante,in view of
unos,some
les,them
algo,something
hacia,toward
casa,home
ellos,them
ayer,Yesterday
hecho,done
primera,first
mucho,much
mientras,While
además,what's more
quien,who
momento,moment
millones,millions
esto,this
españa,Spain
hombre,man
están,is it so
pues,then
hoy,today
lugar,place
madrid,Madrid
nacional,national
trabajo,job
otras,Others
mejor,better
nuevo,new
decir,tell
algunos,Some
entonces,then
todas,all
días,days
debe,has to
política,politics
cómo,excuse me
casi,almost
toda,all
tal,such
luego,later
pasado,last
primer,first
medio,half
va,he
estas,are
sea,be
tenía,I had
nunca,never
poder,can
aquí,here
ver,watch
veces,times
embargo,embargo
partido,match
personas,persons
grupo,group
cuenta,bill
pueden,may
tienen,have
misma,one.
nueva,new
cual,which
fueron,They were
mujer,woman
frente,front
josé,Joseph
tras,after
cosas,stuff
fin,end
ciudad,town
he,He.
social,Social
manera,way
tener,to have
sistema,system
será,will be
historia,history
muchos,Many
juan,Juan
tipo,kind
cuatro,four
dentro,within
nuestro,our
punto,point
dice,He says
ello,it
cualquier,any
noche,evening
aún,still
agua,Water
parece,It seems
haber,to have
situación,situation
fuera,out of
bajo,low
grandes,big
nuestra,our
ejemplo,example
acuerdo,agreement
habían,They had
usted,you
estados,state
hizo,did
nadie,nobody
países,Countries
horas,hours
posible,possible
tarde,late
ley,law
importante,important
guerra,war
desarrollo,developing
proceso,process
realidad,reality
sentido,sense
lado,side
mí,my
tu,your
cambio,change
allí,there
mano,hand
eran,were
estar,to be
san,saint
número,number
sociedad,society
unas,nails
centro,center
padre,dad
gente,people
final,final
relación,relationship
cuerpo,body
obra,construction site
incluso,even
través,through
último,latest
madre,mother
mis,MOS
modo,mode
problemas,problems
cinco,five
carlos,Charlie
hombres,mens
información,information
ojos,eyes
muerte,death
nombre,Name
algunas,some
público,public
mujeres,women
siglo,century
todavía,yet
meses,months
mañana,morning
esos,those
nosotros,U.S
hora,hour
muchas,many
pueblo,village
alguna,some
dar,give
problema,trouble
don,Don
da,gives
tú,your
derecho,right
verdad,truth
maría,Maria
unidos,United
podría,could
sería,would
junto,together
cabeza,head
aquel,that
luis,Lewis
cuanto,how much
tierra,Earth
equipo,team
segundo,second
director,director
dicho,saying
cierto,certain
casos,Cases
manos,hands
nivel,level
podía,I could
familia,family
largo,long
partir,leaving
falta,lack
llegar,to get
propio,own
ministro,Minister
cosa,thing
primero,first
seguridad,security
hemos,we have
mal,wrong
trata,about
algún,some
tuvo,had
respecto,respect
semana,week
varios,several
real,real
sé,he
voz,voice
paso,He passed
señor,Mister
mil,thousand
quienes,Who
proyecto,draft
mercado,market
mayoría,most
luz,light
claro,Sure
iba,I was going
éste,this
pesetas,pesetas.
orden,order
español,Spanish
buena,good
quiere,wants
aquella,that
programa,Program
palabras,words
internacional,international
van,go
esas,those
segunda,second
empresa,company
puesto,Market Stall
ahí,there
propia,own
m,M.
libro,book
igual,equal
político,political
persona,person
últimos,last.
ellas,they
total,total
creo,I think
tengo,I have
dios,God
c,C.
española,Spanish
condiciones,terms
méxico,Mexico
fuerza,strength
solo,only
único,unique
acción,action
amor,love
policía,policeman
puerta,door
pesar,weigh
zona,zone
sabe,knows
calle,Street
interior,inside
tampoco,either
música,music
ningún,No.
vista,view
campo,countryside
buen,good
hubiera,had
saber,to know
obras,plays
razón,reason
ex,former
niños,kids
presencia,presence
tema,theme
dinero,money
comisión,commission
antonio,Antonio
servicio,service
hijo,child
última,last.
ciento,hundred
estoy,am
hablar,talk
dio,it gave
minutos,minutes
producción,production
camino,path
seis,six
quién,who
fondo,bottom
dirección,address
papel,paper
demás,the rest
barcelona,Barcelona
idea,idea
especial,special
diferentes,different
dado,dice
base,base
capital,capital
ambos,both of them
europa,Europe
libertad,Liberty
relaciones,relations
espacio,space
medios,media
ir,to go
actual,current
población,population
empresas,Business
estudio,study
salud,Health
servicios,services
haya,is
principio,beginning
siendo,being
cultura,culture
anterior,previous
alto,high
media,half
mediante,through
primeros,First
arte,art
paz,peace
sector,sector
imagen,image
medida,measure
deben,they should
datos,data
consejo,tip
personal,personal
interés,interest
julio,July
grupos,Groups
miembros,members
ninguna,none
existe,exists
cara,face
edad,age
etc,etc
movimiento,movement
visto,viewed
llegó,I arrive
puntos,points
actividad,exercise
bueno,well
uso,use
niño,kid
difícil,hard
joven,young man
futuro,future
aquellos,those
mes,month
pronto,early
soy,I am
hacía,toward
nuevos,new
nuestros,our
estaban,They were
posibilidad,possibility
sigue,follow
cerca,close
resultados,results
educación,education
atención,attention
gonzález,González.
capacidad,capacity
efecto,effect
necesario,necessary
valor,value
aire,air
investigación,investigation
siguiente,following
figura,figure
central,central
comunidad,community
necesidad,need
serie,Serie
organización,organization
nuevas,New ones
calidad,quality
economía,economy
carácter,character
jefe,boss
estamos,we're
prensa,press
control,control
sociales,social
universidad,University
militar,military
cabo,cape
diez,ten
fuerzas,forces
congreso,congress
ésta,is
hijos,sons
justicia,Justice
mundial,world
dólares,Dollars
juego,play
económica,economic
políticos,politicians
duda,doubt
recursos,means
pública,publicly
crisis,crisis
próximo,next
tenemos,have
decisión,decision
varias,several
popular,popular
tenido,Dyed
apenas,barely
época,epoch
banco,Bank
presente,Present
menor,less
quiero,want
pasar,pass
resultado,Outcome
televisión,TV
encuentra,find
gracias,Thank you
ministerio,ministry
conjunto,set
defensa,defending
alguien,somebody
queda,remains
hacen,make
pasa,pass
resto,rest
causa,cause
seguir,continue
allá,there
palabra,word
voy,go
cuya,whose
vamos,we go
Mar,Sea
estudios,studies
derechos,Rights
importancia,importance
cuales,which
contrario,contrary
manuel,Manuel
garcía,Garcia
fuerte,strong
sol,Sun
jóvenes,youths
apoyo,support
habría,there would be
civil,civil
miguel,Miguel
pedro,Pedro
partidos,matches
libre,free
fuentes,sources
administración,administration
común,common
dejar,let
cine,cinema
salir,get out
comunicación,communication
b,B.
experiencia,experience
demasiado,too
plan,plan
respuesta,answer
energía,Energy
izquierda,left
función,function
principal,principal
superior,higher
naturaleza,nature
podemos,we can
unión,Union
especialmente,especially
rey,King
domingo,Sunday
favor,favor
cantidad,amount
elecciones,elections
clase,class
productos,products
españoles,Spanish people
conocer,know
teatro,theater
importantes,important
evitar,to avoid
color,colour
actividades,activities
mesa,desk
p,P.
decía,He said
cuyo,whose
debido,due
alta,high
francisco,Francisco
secretario,secretary
objeto,object
quizá,perhaps
posición,position
parecía,looked like
natural,natural
elementos,elements
hubo,there was
objetivo,objective
formas,shapes
única,only
pueda,can.
origen,origin
blanco,White
mismos,same.
lleva,carries
económico,economic
opinión,opinion
ayuda,help
oficial,official
silencio,be quiet
buenos,good ones
pensar,to think
república,republic
dónde,where
sangre,blood
encuentro,meeting
siquiera,even
autor,Author
reunión,meeting
haciendo,doing
suelo,ground
muestra,shows
viejo,old
encima,above
resulta,result
tomar,take
bastante,pretty
siete,seven
lucha,struggle
pudo,he could
amigos,friends
línea,line
sur,south
pocos,few
medidas,measures
norte,North
partes,Parties
iglesia,church
tratamiento,treatment
existencia,existence
cargo,post
grande,big
américa,America
boca,mouth
plaza,square
pie,foot
trabajadores,Workers
poner,put
existen,exist
viene,comes
permite,It allows
análisis,analysis
argentina,Argentina
acto,act
hechos,facts
tiempos,time
políticas,Policies
radio,radio
puedo,Can I
crecimiento,increase
francia,France
compañía,company
amigo,friend
autoridades,authorities
realizar,perform
acciones,Actions
padres,parents
diario,daily
ve,go
derecha,right
ambiente,environment
i,I.
habrá,there will be
precisamente,precisely
enfermedad,disease
especie,species
ejército,army
santa,Santa
cambios,changes
río,River
sabía,I knew
seguro,safe
espera,waiting
momentos,Moments
viaje,trip
quería,wanted
ocho,Eight
vivir,to live
región,region
formación,training
escuela,school
cuarto,room
valores,values
quedó,It was left
participación,participation
éxito,success
baja,come down
artículo,Article
principales,Main
fernando,Fernando.
metros,meters
marcha,March
régimen,regime
consecuencia,consequence
conocimiento,knowledge
corazón,heart
campaña,Bell
estructura,structure
efectos,effects
finalmente,Finally
modelo,model
carta,letter
construcción,construction
médico,doctor
miedo,afraid
mayores,greater
entrada,entry
humanos,humans
sean,Sean.
actitud,attitude
deja,leaves
dejó,let
d,D.
llevar,carry
negro,black
texto,text
mitad,half
estuvo,he was
alrededor,around
acerca,about
peso,weight
humano,human
pequeño,little
fecha,date
serán,will be
doctor,doctor
ideas,Ideas
vino,came
materia,matter
llega,arrives
carrera,career
cierta,certain
sola,alone
psoe,PSOE.
lejos,far
juez,judge
características,features
riesgo,risk
fácil,easy
diferencia,difference
cultural,cultural
libros,books
práctica,practice
mayo,May
nuestras,ours
programas,programs
memoria,memory
llegado,arrived
plazo,term
expresión,expression
diciembre,December
mantener,maintain
enero,January
volver,return
cuadro,picture
producto,product
produce,produces
europea,European
conciencia,awareness
tenían,They had
atrás,behind
felipe,Felipe.
creación,creation
chile,chili
precio,price
película,film
puerto,port
fuego,fire
cuestión,question
pasó,step
costa,coast
supuesto,assumption
local,local
habla,speaks
aspectos,aspects
cuba,Cuba
sala,living room
cámara,camera
vuelta,lap
vía,via
mirada,look
mejores,top
informe,report
unidad,Unit
distintos,Differentos
suerte,luck
tales,such
mira,sight
llamado,called
técnica,technique
título,qualification
s,S.
principios,beginning
octubre,October
volvió,went back
período,period
g,G.
encontrar,find
democracia,democracy
aumento,increase
fútbol,soccer
prueba,proof
consumo,consumption
pese,I weighed
ocasiones,occasions
exterior,Exterior
solución,solution
u,or
hija,daughter
sueño,sleep
parís,Paris
capaz,capable
ocasión,chance
industria,industry
adelante,ahead
salida,Exit
ciencia,science
asunto,affair
asociación,association
puso,put
intereses,interests
oro,gold
podrá,can.
pregunta,question
oposición,opposition
entrar,get in
señora,Ms
señaló,he pointed
santiago,Santiago
dolor,pain
zonas,Areas
comercio,Commerce
operación,operation
tribunal,court
instituciones,institutions
temas,topics
militares,Military
junio,June
marco,frame
sectores,sectors.
hacerlo,do it
aspecto,appearance
razones,reasons
contenido,content
juicio,judgment
electoral,electoral
considera,considers
tendrá,will have
mucha,a lot
voluntad,Will
dicen,they say
recuerdo,I remember
socialista,socialist
área,area
aparece,appear
vio,saw
cama,bed
aun,yet
presenta,presentment
pp,pp.
revolución,revolution
busca,seeks
abril,April
rodríguez,Rodríguez.
fiscal,fiscal
lópez,Lopez.
victoria,victory
violencia,violence
primeras,First
pequeña,small
armas,weapons
debía,should
ii,II.
esfuerzo,effort
humana,Humana
posibilidades,possibilities
centros,centers
profesional,professional
asimismo,in addition
grado,degree
has,HAS.
toma,taking
distintas,Differentos
material,material
carne,meat
llama,call
particular,particular
jorge,George
trabajar,to work
propuesta,proposal
muerto,dead
precios,prices
reforma,reform
hermano,brother
corte,court
comenzó,started
etapa,stage
obstante,way
pone,places
diversos,Diversery
visita,visit
concepto,concept
pacientes,patients
semanas,weeks
tipos,types
solamente,only
deseo,wish
sistemas,Systems
encuentran,Find?
siguientes,following
martín,Martin
suficiente,enough
marzo,March
propios,Own
jamás,Never
dan,Dan.
club,club
instituto,Institute
constitución,Constitution
curso,course
lenguaje,language
estilo,style
rosa,pink
imposible,impossible
pablo,Pablo
buscar,search for
peor,worse
piel,skin
arriba,above
generales,general
septiembre,September
blanca,White
r,R.
aquellas,those
teoría,theory
animales,animals
hicieron,they made
larga,long
perdido,lost
imágenes,images
paciente,patient
conseguir,to get
máximo,maximum
noviembre,November
j,J.
líder,Leader
hospital,hospital
diversas,diverse
rafael,Rafael.
vuelve,returns
destino,destiny
torno,turnstile
proyectos,Projects
flores,flowers
niveles,levels
afirmó,he claimed
explicó,He explained
n,N.
somos,are
términos,Terms
premio,prize
tercera,third
